iter	Passed	Remaining
165	714	3590
166	716	3573
167	718	3556
168	719	3539
169	721	3523
170	723	3507
171	725	3491
172	727	3476
173	729	3461
174	731	3446
175	732	3430
176	734	3415
177	736	3399
178	737	3384
179	739	3369
180	741	3357
181	744	3344
182	745	3330
183	747	3316
184	749	3301
185	751	3287
186	753	3274
187	754	3260
188	756	3247
189	759	3236
190	760	3222
191	762	3209
192	764	3196
193	766	3183
194	768	3170
195	769	3158
196	771	3145
197	773	3134
198	775	3121
199	777	3109
200	779	3098
201	781	3086
202	783	3076
203	785	3065
204	787	3055
205	790	3045
206	792	3034
207	794	3023
208	796	3014
209	798	3005
210	801	2997
211	805	2992
212	807	2983
213	809	2973
214	812	2964
215	814	2955
216	816	2946
217	819	2939
218	821	2930
219	823	2921
220	826	2912
221	828	2904
222	830	2894
223	833	2886
224	835	2877
225	837	2869
226	840	2861
227	842	2851
228	844	2843
229	848	2840
230	851	2833
231	853	2824
232	855	2815
233	858	2808
234	860	2800
235	862	2791
236	864	2783
237	866	2774
238	868	2765
239	870	2756
240	872	2747
241	874	2739
242	876	2731
243	879	2724
244	881	2716
245	883	2708
246	885	2700
247	887	2691
248	889	2683
249	891	2674
250	894	2668
251	896	2661
252	898	2653
253	900	2645
254	902	2638
255	904	2630
256	908	2625
257	910	2618
258	912	2610
259	914	2603
260	916	2596
261	918	2588
262	920	2580
263	923	2575
264	925	2567
265	927	2560
266	929	2552
267	931	2544
268	933	2537
269	935	2529
270	938	2524
271	940	2517
272	942	2509
273	944	2502
274	946	2494
275	948	2487
276	950	2479
277	952	2473
278	954	2466
279	956	2459
280	958	2451
281	960	2444
282	962	2437
283	963	2429
284	965	2423
285	968	2417
286	970	2411
287	972	2404
288	974	2397
289	977	2393
290	979	2386
291	981	2379
292	983	2374
293	985	2367
294	988	2361
295	990	2355
296	992	2348
297	994	2342
298	997	2339
299	1000	2334
300	1002	2329
301	1005	2323
302	1007	2317
303	1009	2312
304	1015	2312
305	1017	2308
306	1020	2303
307	1023	2299
308	1026	2295
309	1031	2295
310	1033	2290
311	1037	2287
312	1042	2288
313	1045	2284
314	1048	2279
315	1050	2274
316	1053	2270
317	1059	2273
318	1062	2267
319	1065	2263
320	1068	2259
321	1071	2256
322	1075	2253
323	1078	2249
324	1080	2244
325	1083	2239
326	1089	2241
327	1091	2236
328	1094	2231
329	1099	2232
330	1107	2238
331	1110	2234
332	1113	2229
333	1117	2227
334	1121	2225
335	1125	2223
336	1127	2218
337	1133	2221
338	1137	2217
339	1139	2212
340	1142	2206
341	1144	2202
342	1150	2203
343	1152	2198
344	1155	2192
345	1157	2187
346	1160	2182
347	1164	2182
348	1170	2182
349	1172	2176
350	1174	2171
351	1177	2166
352	1182	2166
353	1184	2161
354	1187	2156
355	1189	2152
356	1193	2148
357	1195	2143
358	1198	2139
359	1200	2134
360	1202	2128
361	1204	2123
362	1206	2117
363	1210	2114
364	1213	2110
365	1214	2104
366	1216	2099
367	1219	2094
368	1221	2088
369	1227	2089
370	1229	2084
371	1231	2079
372	1234	2074
373	1237	2070
374	1240	2067
375	1243	2062
376	1245	2057
377	1247	2052
378	1250	2048
379	1253	2045
380	1256	2041
381	1259	2037
382	1261	2032
383	1263	2027
384	1265	2022
385	1271	2022
386	1273	2017
387	1276	2012
388	1277	2007
389	1280	2002
390	1286	2003
391	1289	1999
392	1291	1995
393	1295	1992
394	1298	1988
395	1301	1984
396	1304	1980
397	1306	1976
398	1308	1971
399	1310	1965
400	1314	1963
401	1318	1961
402	1321	1957
403	1323	1952
404	1325	1946
405	1328	1944
406	1331	1940
407	1334	1936
408	1336	1931
409	1338	1926
410	1341	1922
411	1345	1920
412	1348	1916
413	1350	1911
414	1352	1907
415	1354	1901
416	1359	1900
417	1364	1899
418	1366	1894
419	1368	1890
420	1370	1885
421	1375	1883
422	1377	1879
423	1380	1874
424	1382	1870
425	1385	1866
426	1390	1865
427	1393	1862
428	1396	1858
429	1398	1854
430	1401	1850
431	1406	1848
432	1408	1844
433	1410	1839
434	1412	1834
